Time	Step	Training loss	Validation loss	Full Validation loss
05:15:58	1185	2.8316	-	-
05:15:56	1184	1.0461	-	-
05:15:54	1183	1.2037	-	-
05:15:52	1182	3.8906	-	-
05:15:52	1181	3.5867	-	-
05:15:50	1180	0.3302	-	-
05:15:48	1179	1.2502	-	-
05:15:45	1178	1.9324	-	-
05:15:43	1177	1.3727	-	-
05:15:43	1176	3.3387	-	-
05:15:41	1175	3.3136	-	-
05:15:39	1174	1.6821	-	-
05:15:37	1173	2.5858	-	-
05:15:35	1172	2.1379	-	-
05:15:33	1171	1.0405	-	-
05:15:33	1170	2.5284	-	-
05:15:31	1169	3.7548	-	-
05:15:29	1168	2.3167	-	-
05:15:27	1167	1.9335	-	-
05:15:25	1166	2.1601	-	-
05:15:25	1165	3.0281	-	-
05:15:23	1164	3.6833	-	-
05:15:21	1163	2.3176	-	-
05:15:19	1162	2.8520	-	-
05:15:17	1161	3.3323	-	-
05:15:17	1160	2.6926	-	-
05:15:15	1159	3.5916	-	-
05:15:13	1158	3.1480	-	-
05:15:11	1157	1.0515	-	-
05:15:09	1156	3.1425	-	-
05:15:09	1155	3.8641	-	-
05:15:07	1154	3.4140	-	-
05:15:05	1153	0.8456	-	-
05:15:03	1152	3.3837	-	-
05:15:03	1151	2.4438	-	-
05:15:01	1150	0.5885	-	-
05:14:59	1149	1.7164	-	-
05:14:57	1148	3.3155	-	-
05:14:55	1147	3.2080	-	-
05:14:53	1146	0.5072	-	-
05:14:53	1145	3.3361	-	-
05:14:51	1144	2.2302	-	-
05:14:48	1143	4.0204	-	-
05:14:46	1142	1.1604	-	-
05:14:44	1141	0.3620	-	-
05:14:42	1140	4.0509	-	-
05:14:42	1139	2.1388	-	-
05:14:40	1138	2.1058	-	-
05:14:38	1137	1.7378	-	-
05:14:36	1136	1.5516	-	-
05:14:34	1135	0.4306	-	-
05:14:34	1134	0.3943	-	-
05:14:32	1133	1.6757	-	-
05:14:30	1132	2.7390	-	-
05:14:28	1131	2.9212	-	-
05:14:26	1130	1.9120	-	-
05:14:24	1129	3.0574	-	-
05:14:24	1128	1.8039	-	-
05:14:22	1127	3.2197	-	-
05:14:20	1126	2.9073	-	-
05:14:18	1125	0.5593	-	-
05:14:16	1124	3.9551	-	-
05:14:16	1123	3.5209	-	-
05:14:14	1122	3.7455	-	-
05:14:12	1121	3.0110	-	-
05:14:10	1120	1.6895	-	-
05:14:08	1119	0.9633	-	-
05:14:06	1118	1.7471	-	-
05:14:06	1117	2.8170	-	-
05:14:04	1116	2.3827	-	-
05:14:02	1115	3.2642	-	-
05:14:00	1114	3.3155	-	-
05:14:00	1113	2.4343	-	-
05:13:58	1112	1.8750	-	-
05:13:56	1111	3.2555	-	-
05:13:54	1110	3.3595	-	-
05:13:52	1109	1.9324	-	-
05:13:49	1108	2.1706	-	-
05:13:49	1107	3.7095	-	-
05:13:47	1106	2.7179	-	-
05:13:45	1105	3.1883	-	-
05:13:43	1104	3.1200	-	-
05:13:41	1103	3.1612	-	-
05:13:39	1102	0.2943	-	-
05:13:39	1101	3.3955	-	-
05:13:35	1100	3.1291	3.0020	-
05:13:27	1099	1.3947	-	-
05:13:25	1098	1.8561	-	-
05:13:23	1097	2.9933	-	-
05:13:23	1096	3.8260	-	-
05:13:21	1095	2.3239	-	-
05:13:19	1094	3.7841	-	-
05:13:17	1093	2.8885	-	-
05:13:15	1092	2.8384	-	-
05:13:13	1091	2.5408	-	-
05:13:13	1090	3.1171	-	-
05:13:11	1089	1.1932	-	-
05:13:09	1088	0.8004	-	-
05:13:07	1087	2.9380	-	-
05:13:05	1086	1.4058	-	-
05:13:05	1085	4.0593	-	-
05:13:03	1084	1.0329	-	-
05:13:01	1083	2.3531	-	-
05:12:59	1082	0.6290	-	-
05:12:57	1081	3.6503	-	-
05:12:56	1080	3.8791	-	-
05:12:54	1079	1.9557	-	-
05:12:52	1078	2.9916	-	-
05:12:50	1077	4.4631	-	-
05:12:48	1076	2.0687	-	-
05:12:46	1075	3.3057	-	-
05:12:46	1074	1.6729	-	-
05:12:44	1073	3.6207	-	-
05:12:42	1072	3.6396	-	-
05:12:40	1071	1.2076	-	-
05:12:38	1070	3.2970	-	-
05:12:38	1069	2.2519	-	-
05:12:36	1068	3.3501	-	-
05:12:34	1067	0.3028	-	-
05:12:32	1066	3.3579	-	-
05:12:30	1065	1.0106	-	-
05:12:30	1064	2.2041	-	-
05:12:28	1063	3.8082	-	-
05:12:26	1062	0.6570	-	-
05:12:24	1061	2.4290	-	-
05:12:22	1060	3.6204	-	-
05:12:20	1059	1.7132	-	-
05:12:20	1058	3.6139	-	-
05:12:18	1057	2.4718	-	-
05:12:16	1056	3.5005	-	-
05:12:14	1055	2.3849	-	-
05:12:12	1054	2.7377	-	-
05:12:10	1053	2.1641	-	-
05:12:10	1052	1.8050	-	-
05:12:08	1051	1.8845	-	-
05:12:06	1050	2.2707	-	-
05:12:03	1049	2.4807	-	-
05:12:01	1048	1.5589	-	-
05:12:01	1047	3.4896	-	-
05:11:59	1046	0.8752	-	-
05:11:57	1045	3.2182	-	-
05:11:55	1044	0.8623	-	-
05:11:53	1043	1.9073	-	-
